Question,Answer
how do I check if a courier can ship to remote areas,When booking a delivery our platform checks availability in remote areas and recommends couriers accordingly.
what is the maximum delivery distance,The maximum delivery distance varies by courier and we'll show the options based on the package's destination.
can I cancel a delivery after itâ€™s been picked up,Once the package is picked up cancellation policies depend on the courier but we can assist in the process.
can I ship hazardous materials,Shipping hazardous materials may be restricted so please check with the selected courier's policies before booking.
what payment methods are accepted,We accept various payment methods including credit cards bank transfers  and online wallets.
can I set up automatic payments for deliveries,Yes you can enable automatic payments in the Billing section of your account for faster order processing.
how do I get a bulk shipping discount,Discounts for bulk shipping may be available through certain couriers and weâ€™ll display any applicable discounts at checkout.
what if my package is confiscated by customs,For international deliveries customs issues are handled by the courier but youâ€™ll need to ensure compliance with regulations.
can I ship items like jewelry or electronics,Yes you can ship valuable items but some couriers may offer insurance or special handling options for high-value goods.
how do I package my item securely for delivery,Ensure your item is well-padded in a sturdy box and use tape to secure all edges. Mark as fragile if needed.
can I use my own packaging,Yes you can use your own packaging as long as it meets the courier's guidelines for safe transport.
what is dimensional weight pricing,Dimensional weight pricing calculates the cost of shipping based on the packageâ€™s size not just its weight.
how do I calculate dimensional weight,To calculate dimensional weight multiply the length width  and height of your package and divide by the courier's dimensional factor.
do you provide packaging materials,We donâ€™t provide packaging materials directly but couriers may offer packaging for an additional fee.
can I create custom shipping labels for my brand,Currently our shipping labels are generated automatically but you can use your branding on the packaging.
what is the difference between express and standard delivery,Express delivery is faster but usually costs more while standard delivery is more affordable but may take longer.
how do I choose between different delivery speeds,We provide estimated delivery times and costs for each option so you can choose what fits your needs best.
what happens if my package is delayed,If there is a delay youâ€™ll receive an update from the courier and we can help you follow up on the status.
can I reschedule a delivery after booking,Yes you can reschedule a delivery through our platform as long as the courier hasnâ€™t picked up the package.
how do I set up recurring payments for deliveries,You can enable recurring payments in your account settings for subscription-based or frequent deliveries.
how do I manage multiple stores under one account,You can manage multiple stores by adding them to your main account and switching between them in your dashboard.
can I set up a default courier for my store,Yes you can set up a default courier preference for your store in the settings for faster checkout.
what is the maximum size for a package,The maximum size depends on the courier but we support a wide range of package dimensions for delivery.
how do I ensure my package is delivered on time,Ensure that all delivery details are correct and choose an express option if time is critical.
can I use your platform for personal deliveries,Yes although our platform is optimized for businesses personal deliveries are also supported.
how do I sign up for delivery alerts,You can sign up for SMS email or app notifications in your account settings to stay updated on delivery statuses.
what is the cut-off time for same-day delivery,The cut-off time for same-day delivery depends on the courier and we'll display that information during booking.
can I ship furniture or large items,Yes some couriers handle large items like furniture but additional fees may apply based on the itemâ€™s size and weight.
how do I prevent package theft,You can request signature confirmation or schedule deliveries when someone is available to receive the package.
what is proof of delivery,Proof of delivery is confirmation that the recipient has received the package often through a signature or photo.
how do I file a complaint with a courier,You can file a complaint directly with the courier or contact our support team and weâ€™ll help escalate the issue.
what if the courier refuses to pick up my package,If the courier refuses to pick up your package contact our support team to resolve the issue.
how do I handle multiple deliveries on the same day,You can schedule multiple deliveries through the platform and arrange for bulk pickups if needed.
can I pay for deliveries in cash,Some couriers offer cash-on-delivery (COD) for recipients but payment for the booking must be done online.
how do I provide delivery instructions to the courier,You can add specific delivery instructions when creating a delivery order on our platform.
what if I need to store my package temporarily,Currently we do not offer warehousing but some couriers may offer storage solutions for additional fees.
how do I ensure fragile items are handled carefully,Mark the package as fragile during booking and ensure itâ€™s well-packaged for safe transport.
can I insure high-value items,Yes some couriers offer insurance options for high-value items which you can select when booking the delivery.
how do I compare delivery costs between couriers,Our platform automatically compares the delivery costs from various couriers when you enter package details.
what is a delivery route optimization,Route optimization helps couriers choose the fastest or most efficient route for delivering your package.
can I reprint a lost shipping label,Yes you can reprint a shipping label from your dashboard if it was lost or damaged.
how do I send delivery notifications to my customers,You can enable automatic notifications for your customers through our platform once a delivery is booked.
can I manage returns from my customers,Yes you can initiate return deliveries and the courier will handle picking up the item from your customer.
what if the customer wants to return an opened package,Returns of opened packages are subject to your storeâ€™s return policy. We can handle the logistics of the return process.
how do I confirm a return has been completed,Once the return is delivered to your warehouse you'll receive a confirmation through our platform.
can I ship live animals or plants,Shipping live animals or plants is restricted by most couriers so youâ€™ll need to check with the specific courier before booking.
how do I verify a courierâ€™s rating,You can check the ratings and reviews of different couriers through our platform before choosing one for your delivery.
what is signature confirmation,Signature confirmation requires the recipient to sign for the package ensuring that it was delivered to the right person.
can I schedule recurring deliveries for my store,Yes you can schedule recurring deliveries for regular shipments which saves time on repeat orders.
how do I handle large-scale shipments,For large-scale shipments we offer bulk order processing and can help with logistics coordination.
what if a delivery fails,If a delivery fails the package will be returned and you can reschedule or contact our support for assistance.
how do I notify my customers of a delayed delivery,You can set up automatic notifications through our platform or you can manually update your customers.
can I schedule deliveries during holidays,Some couriers offer holiday deliveries but availability depends on the specific courier and location.
how do I get real-time delivery updates,You can enable real-time updates via SMS or email in your account settings to track the delivery progress.
how do I manage deliveries during peak seasons,During peak seasons we recommend booking early and opting for express services if needed to avoid delays.
what is included in delivery analytics,Delivery analytics include information on delivery times costs performance metrics  and customer feedback.
can I offer customers the option to pick up their order,Yes you can set up a pick-up option for your customers if they prefer to collect the item in person.
do you offer customer support for delivery issues,Yes our customer support team is available to assist with any delivery-related issues or questions.
how do I handle international customs for deliveries,We currently focus on local deliveries but for international shipping the courier handles customs clearance.
can I create a delivery schedule for multiple locations,Yes you can schedule deliveries for multiple locations in one go through our bulk order feature.
how do I export my delivery data,You can export delivery data as a CSV file from your dashboard for further analysis or reporting.
what is a return shipping label,A return shipping label is used for sending a package back to the seller or sender in case of returns.
can I schedule deliveries outside of business hours,Some couriers offer evening or after-hours deliveries which you can select when booking the delivery.
how do I handle delivery exceptions,Delivery exceptions like delays or issues can be managed by contacting the courier through our platform.
can I track delivery exceptions in real-time,Yes youâ€™ll receive real-time updates if thereâ€™s a delivery exception such as delays or failed delivery attempts.
what if I donâ€™t know the package weight,You can estimate the weight based on the contents but accurate weight information will ensure youâ€™re charged correctly.
how do I handle bulk order returns,You can initiate bulk returns by selecting multiple orders and generating return labels for all packages at once.
can I use the same courier for both delivery and returns,Yes many couriers offer both delivery and return services and you can choose the same one for both.
can I get a refund for canceled orders,Refunds for canceled orders depend on the courierâ€™s policy but weâ€™ll assist you in processing any eligible refunds.
how do I manage delivery risks,You can reduce risks by using services like insurance signature confirmation and choosing reliable couriers.
can I set up automated delivery tracking emails,Yes you can automate tracking updates for your customers through the platformâ€™s notification settings.
what if I need special handling for fragile goods,You can request special handling and mark your package as fragile when booking the delivery.
how do I integrate with WooCommerce,We offer an integration with WooCommerce that lets you manage deliveries directly from your store dashboard.
can I customize delivery notifications,Yes you can customize delivery notifications with your brandâ€™s messaging and updates for your customers.
how do I handle delivery discrepancies,Delivery discrepancies such as wrong items or quantities can be reported through our platform for resolution.
can I bulk edit delivery addresses,Yes you can bulk edit delivery addresses using the bulk order feature in your dashboard.
do you support eco-friendly packaging,While we donâ€™t supply packaging you can choose eco-friendly packaging options when sending items through couriers that support it.
how do I optimize my delivery costs,You can optimize costs by choosing the most cost-effective couriers based on package size weight and delivery speed.
